Review_ID,Review_Text,lowercase_text,cleaned_text,tokens,no_stopwords,stemmed_tokens,lemmatized_tokens,term_frequency
1,"""The product is GREAT! Loved it, but its a bit pricey.""","""the product is great! loved it, but its a bit pricey.""",the product is great loved it but its a bit pricey,"['the', 'product', 'is', 'great', 'loved', 'it', 'but', 'its', 'a', 'bit', 'pricey']","['product', 'great', 'loved', 'bit', 'pricey']","['product', 'great', 'love', 'bit', 'pricey']","['product', 'great', 'loved', 'bit', 'pricey']","{'product': 1, 'great': 1, 'loved': 1, 'bit': 1, 'pricey': 1}"
2,"""Worst product ever!! Wouldnt recommend to anyone.""","""worst product ever!! wouldnt recommend to anyone.""",worst product ever wouldnt recommend to anyone,"['worst', 'product', 'ever', 'wouldnt', 'recommend', 'to', 'anyone']","['worst', 'product', 'ever', 'wouldnt', 'recommend', 'anyone']","['worst', 'product', 'ever', 'wouldnt', 'recommend', 'anyon']","['worst', 'product', 'ever', 'wouldnt', 'recommend', 'anyone']","{'worst': 1, 'product': 1, 'ever': 1, 'wouldnt': 1, 'recommend': 1, 'anyone': 1}"
3,"""Satisfactory quality, works as expected, no major issues.""","""satisfactory quality, works as expected, no major issues.""",satisfactory quality works as expected no major issues,"['satisfactory', 'quality', 'works', 'as', 'expected', 'no', 'major', 'issues']","['satisfactory', 'quality', 'works', 'expected', 'major', 'issues']","['satisfactori', 'qualiti', 'work', 'expect', 'major', 'issu']","['satisfactory', 'quality', 'work', 'expected', 'major', 'issue']","{'satisfactory': 1, 'quality': 1, 'works': 1, 'expected': 1, 'major': 1, 'issues': 1}"
4,"""Amazing product, I would buy it again and again!""","""amazing product, i would buy it again and again!""",amazing product i would buy it again and again,"['amazing', 'product', 'i', 'would', 'buy', 'it', 'again', 'and', 'again']","['amazing', 'product', 'would', 'buy']","['amaz', 'product', 'would', 'buy']","['amazing', 'product', 'would', 'buy']","{'amazing': 1, 'product': 1, 'would': 1, 'buy': 1}"
5,"""The delivery was slow, but the product is good.""","""the delivery was slow, but the product is good.""",the delivery was slow but the product is good,"['the', 'delivery', 'was', 'slow', 'but', 'the', 'product', 'is', 'good']","['delivery', 'slow', 'product', 'good']","['deliveri', 'slow', 'product', 'good']","['delivery', 'slow', 'product', 'good']","{'delivery': 1, 'slow': 1, 'product': 1, 'good': 1}"
6,"""Horrible experience, the product broke after just one use.""","""horrible experience, the product broke after just one use.""",horrible experience the product broke after just one use,"['horrible', 'experience', 'the', 'product', 'broke', 'after', 'just', 'one', 'use']","['horrible', 'experience', 'product', 'broke', 'one', 'use']","['horribl', 'experi', 'product', 'broke', 'one', 'use']","['horrible', 'experience', 'product', 'broke', 'one', 'use']","{'horrible': 1, 'experience': 1, 'product': 1, 'broke': 1, 'one': 1, 'use': 1}"
7,"""Great value for the price! Definitely worth buying.""","""great value for the price! definitely worth buying.""",great value for the price definitely worth buying,"['great', 'value', 'for', 'the', 'price', 'definitely', 'worth', 'buying']","['great', 'value', 'price', 'definitely', 'worth', 'buying']","['great', 'valu', 'price', 'definit', 'worth', 'buy']","['great', 'value', 'price', 'definitely', 'worth', 'buying']","{'great': 1, 'value': 1, 'price': 1, 'definitely': 1, 'worth': 1, 'buying': 1}"
8,"""The product didnt meet my expectations, returning it.""","""the product didnt meet my expectations, returning it.""",the product didnt meet my expectations returning it,"['the', 'product', 'didnt', 'meet', 'my', 'expectations', 'returning', 'it']","['product', 'didnt', 'meet', 'expectations', 'returning']","['product', 'didnt', 'meet', 'expect', 'return']","['product', 'didnt', 'meet', 'expectation', 'returning']","{'product': 1, 'didnt': 1, 'meet': 1, 'expectations': 1, 'returning': 1}"
9,"""Im satisfied with the purchase, but there are better options available.""","""im satisfied with the purchase, but there are better options available.""",im satisfied with the purchase but there are better options available,"['im', 'satisfied', 'with', 'the', 'purchase', 'but', 'there', 'are', 'better', 'options', 'available']","['im', 'satisfied', 'purchase', 'better', 'options', 'available']","['im', 'satisfi', 'purchas', 'better', 'option', 'avail']","['im', 'satisfied', 'purchase', 'better', 'option', 'available']","{'im': 1, 'satisfied': 1, 'purchase': 1, 'better': 1, 'options': 1, 'available': 1}"
10,"""Superb product! Excellent build quality and great customer service.""","""superb product! excellent build quality and great customer service.""",superb product excellent build quality and great customer service,"['superb', 'product', 'excellent', 'build', 'quality', 'and', 'great', 'customer', 'service']","['superb', 'product', 'excellent', 'build', 'quality', 'great', 'customer', 'service']","['superb', 'product', 'excel', 'build', 'qualiti', 'great', 'custom', 'servic']","['superb', 'product', 'excellent', 'build', 'quality', 'great', 'customer', 'service']","{'superb': 1, 'product': 1, 'excellent': 1, 'build': 1, 'quality': 1, 'great': 1, 'customer': 1, 'service': 1}"
11,"""The product is just okay, nothing special, but it gets the job done.""","""the product is just okay, nothing special, but it gets the job done.""",the product is just okay nothing special but it gets the job done,"['the', 'product', 'is', 'just', 'okay', 'nothing', 'special', 'but', 'it', 'gets', 'the', 'job', 'done']","['product', 'okay', 'nothing', 'special', 'gets', 'job', 'done']","['product', 'okay', 'noth', 'special', 'get', 'job', 'done']","['product', 'okay', 'nothing', 'special', 'get', 'job', 'done']","{'product': 1, 'okay': 1, 'nothing': 1, 'special': 1, 'gets': 1, 'job': 1, 'done': 1}"
12,"""Fast delivery and product as described. Would buy again!""","""fast delivery and product as described. would buy again!""",fast delivery and product as described would buy again,"['fast', 'delivery', 'and', 'product', 'as', 'described', 'would', 'buy', 'again']","['fast', 'delivery', 'product', 'described', 'would', 'buy']","['fast', 'deliveri', 'product', 'describ', 'would', 'buy']","['fast', 'delivery', 'product', 'described', 'would', 'buy']","{'fast': 1, 'delivery': 1, 'product': 1, 'described': 1, 'would': 1, 'buy': 1}"
13,"""Not worth the money. The product feels cheap and flimsy.""","""not worth the money. the product feels cheap and flimsy.""",not worth the money the product feels cheap and flimsy,"['not', 'worth', 'the', 'money', 'the', 'product', 'feels', 'cheap', 'and', 'flimsy']","['worth', 'money', 'product', 'feels', 'cheap', 'flimsy']","['worth', 'money', 'product', 'feel', 'cheap', 'flimsi']","['worth', 'money', 'product', 'feel', 'cheap', 'flimsy']","{'worth': 1, 'money': 1, 'product': 1, 'feels': 1, 'cheap': 1, 'flimsy': 1}"
14,"""The product exceeded my expectations. Fantastic performance!""","""the product exceeded my expectations. fantastic performance!""",the product exceeded my expectations fantastic performance,"['the', 'product', 'exceeded', 'my', 'expectations', 'fantastic', 'performance']","['product', 'exceeded', 'expectations', 'fantastic', 'performance']","['product', 'exceed', 'expect', 'fantast', 'perform']","['product', 'exceeded', 'expectation', 'fantastic', 'performance']","{'product': 1, 'exceeded': 1, 'expectations': 1, 'fantastic': 1, 'performance': 1}"
15,"""Terrible customer service, but the product itself is decent.""","""terrible customer service, but the product itself is decent.""",terrible customer service but the product itself is decent,"['terrible', 'customer', 'service', 'but', 'the', 'product', 'itself', 'is', 'decent']","['terrible', 'customer', 'service', 'product', 'decent']","['terribl', 'custom', 'servic', 'product', 'decent']","['terrible', 'customer', 'service', 'product', 'decent']","{'terrible': 1, 'customer': 1, 'service': 1, 'product': 1, 'decent': 1}"
16,"""Very happy with the product. Would definitely recommend it to others.""","""very happy with the product. would definitely recommend it to others.""",very happy with the product would definitely recommend it to others,"['very', 'happy', 'with', 'the', 'product', 'would', 'definitely', 'recommend', 'it', 'to', 'others']","['happy', 'product', 'would', 'definitely', 'recommend', 'others']","['happi', 'product', 'would', 'definit', 'recommend', 'other']","['happy', 'product', 'would', 'definitely', 'recommend', 'others']","{'happy': 1, 'product': 1, 'would': 1, 'definitely': 1, 'recommend': 1, 'others': 1}"
17,"""Good product, but Ive had better ones for the same price.""","""good product, but ive had better ones for the same price.""",good product but ive had better ones for the same price,"['good', 'product', 'but', 'ive', 'had', 'better', 'ones', 'for', 'the', 'same', 'price']","['good', 'product', 'ive', 'better', 'ones', 'price']","['good', 'product', 'ive', 'better', 'one', 'price']","['good', 'product', 'ive', 'better', 'one', 'price']","{'good': 1, 'product': 1, 'ive': 1, 'better': 1, 'ones': 1, 'price': 1}"
18,"""I received a defective item, had to return it. Very disappointing.""","""i received a defective item, had to return it. very disappointing.""",i received a defective item had to return it very disappointing,"['i', 'received', 'a', 'defective', 'item', 'had', 'to', 'return', 'it', 'very', 'disappointing']","['received', 'defective', 'item', 'return', 'disappointing']","['receiv', 'defect', 'item', 'return', 'disappoint']","['received', 'defective', 'item', 'return', 'disappointing']","{'received': 1, 'defective': 1, 'item': 1, 'return': 1, 'disappointing': 1}"
19,"""The product is excellent, but shipping took longer than expected.""","""the product is excellent, but shipping took longer than expected.""",the product is excellent but shipping took longer than expected,"['the', 'product', 'is', 'excellent', 'but', 'shipping', 'took', 'longer', 'than', 'expected']","['product', 'excellent', 'shipping', 'took', 'longer', 'expected']","['product', 'excel', 'ship', 'took', 'longer', 'expect']","['product', 'excellent', 'shipping', 'took', 'longer', 'expected']","{'product': 1, 'excellent': 1, 'shipping': 1, 'took': 1, 'longer': 1, 'expected': 1}"
20,"""Love the product! Works as advertised and worth every penny.""","""love the product! works as advertised and worth every penny.""",love the product works as advertised and worth every penny,"['love', 'the', 'product', 'works', 'as', 'advertised', 'and', 'worth', 'every', 'penny']","['love', 'product', 'works', 'advertised', 'worth', 'every', 'penny']","['love', 'product', 'work', 'advertis', 'worth', 'everi', 'penni']","['love', 'product', 'work', 'advertised', 'worth', 'every', 'penny']","{'love': 1, 'product': 1, 'works': 1, 'advertised': 1, 'worth': 1, 'every': 1, 'penny': 1}"
